e2_idxs	e1_label	e2_label	sent_id	e1_idxs	doc_id	is_correct
[23, 24, 25, 26]	MarkerName	Diseases	1	[14]	thing.txt	true
[68, 69, 70, 71]	MarkerName	Diseases	1	[14]	thing.txt	false
[73]	MarkerName	Abb	1	[14]	thing.txt	false
[1, 2]	MarkerName	Diseases	5	[5]	thing.txt	true
[34]	MarkerName	Abb	5	[5]	thing.txt	false
[4]	MarkerName	Abb	13	[14]	thing.txt	true
[15]	MarkerName	Abb	14	[23]	thing.txt	true
[42]	MarkerName	Abb	14	[23]	thing.txt	true
[2, 3, 4, 5]	MarkerName	Diseases	15	[9]	thing.txt	false
[7]	MarkerName	Abb	15	[9]	thing.txt	false
[2, 3, 4, 5]	MarkerName	Diseases	15	[11]	thing.txt	false
[7]	MarkerName	Abb	15	[11]	thing.txt	false
[32, 33]	MarkerName	Diseases	30	[18]	thing.txt	true
[30]	MarkerName	Diseases	30	[18]	thing.txt	true
[29, 30]	MarkerName	Diseases	31	[1]	thing.txt	true
[32, 33, 34]	MarkerName	Diseases	35	[28]	thing.txt	false
[17, 18]	MarkerName	Diseases	35	[28]	thing.txt	false
[26]	MarkerName	Diseases	35	[28]	thing.txt	false
[28]	MarkerName	Abb	35	[28]	thing.txt	false
[36]	MarkerName	Abb	35	[28]	thing.txt	false
[19]	MarkerName	Abb	36	[2]	thing.txt	true
[38]	MarkerName	Abb	36	[2]	thing.txt	true
[53]	MarkerName	Abb	36	[2]	thing.txt	true
[26]	MarkerName	Abb	44	[4]	thing.txt	false
[26]	MarkerName	Abb	44	[6]	thing.txt	false
[26]	MarkerName	Abb	45	[12]	thing.txt	false
[8]	MarkerName	Abb	47	[22]	thing.txt	false
[16]	MarkerName	Abb	55	[28]	thing.txt	false
[16]	MarkerName	Abb	55	[44]	thing.txt	false
[7]	MarkerName	Abb	67	[29]	thing.txt	false
[14, 15, 16, 17]	MarkerName	Diseases	98	[2]	thing.txt	true
[6]	MarkerName	Diseases	116	[40]	thing.txt	false
